description,product_no,(No column name)
"Giant Plastic Stackable Bins - 15 x 20 x 12 1⁄2"" Clear",S-17886,2
Uline Deluxe Urinal Screen - Cucumber Melon,S-18729CUC,2
"Plastic Shelf Bin Label Holders and Inserts - 3"" x 3/4""",S-21114,2
"Clear Plastic Shelf Bins - 11 x 24 x 4""",S-23453,2
Uline Paper Towels,S-7711,7
Rubbermaid® Office Trash Can - 7 Gallon Black,S-9970BL,2
"1/4""-20 Low-Profile Channel Screw 3/8"" Long 100 Pack",SH25LP38,2
"Stabilized Fiber-Coupled Light Source w/ Universal Power Adapter 360 - 2600 nm 1/4""-20 Taps",SLS201L,6
Replacement Tungsten-Halogen Module for SLS201L(/M) Light Source,SLS251,2
Adapter with External SM1 Threads and Internal C-Mount Threads 4.1mm Spacer,SM1A10,3
Adapter with External SM1 Threads and Internal C-Mount Threads 9.1mm Spacer,SM1A10Z,2
Adapter with External SM1 Threads and Internal RMS Threads,SM1A3,2
Externally SM1-Threaded End Cap,SM1CP2,2
SM-1 Lever Actuated Iris Diaphragm,SM1D12,2
SM1 Ring Actuated Iris Diaphragm 0.1-12mm,SM1D12D,2
FC/PC Fiber Adapter Plate with External SM1 Threads Wide Key,SM1FC,2
"SM1 Lens Tube 0.30"" Thread Depth SM1RR Retaining Ring 5 Pack",SM1L03-P5,2
"SM1 Lens Tube 1.50"" Thread Depth One Retaining Ring Included",SM1L15,2
SMA Fiber Adapter Plate with External SM1 Threads,SM1SMA,2
"SM2 Retaining Ring for 2"" Lens Tubes and Mounts 5 pack",SM2RR-P5,2
Pigtailed Ferrules with FC/PC Connectors,SMPF0206-FC,3
SP-1845 nm Ø25.4x0.5 mm,SP-1845 nm,2
BlackBoard C,SPX-16282,3
M4 x 0.7 Stainless Steel Cone-Tipped Setscrew 5mm long 10 pack,SS4MS5C,2
16-Drawer Cabinet,ST16,2
9-Drawer Cabinet,ST9,2
SWIR-25 25 mm,SWIR-25,2
Wall Mount BNC SMA SMC & Fiber Optic Cable Rack 14 Slot,T1508,2
Interion Ergonomic Stool - Polyurethane - 5-way Adjustment - Black,T9F250626,2
20-Piece Balldriver and Hex Key Kit with Stand Imperial,TC2,2
"Techniglove Blue Nitrile Technitrile Powder-free Length:9.5"" 5 MIL X-Large",TG-TN104PFB,2
Printer Ink,TN223,2
"1/2"" Optical Post SS 8-32 Setscrew 1/4""-20 Tap L=1""",TR1-P5,2
"1/2"" Optical Post SS 8-32 Setscrew 1/4""-20 Tap L = 3"" 5-pack",TR3-5P,2
Infrasil Windows,UDP10,4
"ViewSonic VA2446MH-LED 24"" 1080p monitor",VA2446MH-LED,2
"Low-Profile T-Nut 1/4""-20 Tapped Hole 10 Pack",XE25T3,3
Elbow Gusset Plate for XE50 to XE50 Rail,XE50GP,3
"50 mm Square Construction Rail 20"" Long 1/4""-20 Taps",XE50L20,2
"50mm Square Construction Rail 20"" Long 1/4""-20 Taps",XE50L20,2
66mm Construction Rail L = 500mm,XT66-500,2
Clamping Platform for 66mm Rails,XT66C4,2
Vertical Mounting Plate for 34mm and 66mm Optical Rails,XT66P1,2
